Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"20,488",137.578,0.062310
NEW ENGLAND JOURNAL OF MEDICINE,"283,525",59.558,0.682350
NATURE REVIEWS DRUG DISCOVERY,"25,460",47.120,0.062730
LANCET,"195,553",44.002,0.407170
NATURE BIOTECHNOLOGY,"48,650",43.113,0.157110
NATURE REVIEWS IMMUNOLOGY,"31,545",39.416,0.087280
NATURE MATERIALS,"72,306",38.891,0.207610
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"36,784",38.602,0.099310
NATURE,"627,846",38.138,1.442560
Annual Review of Astronomy and Astrophysics,"9,000",37.846,0.020160
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"129,909",37.684,0.274210
CHEMICAL REVIEWS,"148,154",37.369,0.245030
NATURE REVIEWS GENETICS,"30,286",35.898,0.106820
Annual Review of Immunology,"17,023",35.543,0.036550
Nature Nanotechnology,"40,881",35.267,0.167380
SCIENCE,"568,210",34.661,1.153670
NATURE REVIEWS CANCER,"41,846",34.244,0.087810
CHEMICAL SOCIETY REVIEWS,"99,930",34.090,0.269940
REVIEWS OF MODERN PHYSICS,"41,133",33.177,0.097170
Living Reviews in Relativity,"2,038",32.000,0.007360
NATURE GENETICS,"86,870",31.616,0.254150
Nature Photonics,"28,381",31.167,0.135650
PROGRESS IN MATERIALS SCIENCE,"9,196",31.083,0.016770
PHYSIOLOGICAL REVIEWS,"24,788",30.924,0.035500
NATURE MEDICINE,"65,230",30.357,0.161790
NATURE REVIEWS NEUROSCIENCE,"33,792",29.298,0.072440
CELL,"202,467",28.710,0.555090
Nature Chemistry,"21,232",27.893,0.103150
PROGRESS IN POLYMER SCIENCE,"21,240",27.184,0.032990
LANCET ONCOLOGY,"30,800",26.509,0.116760
Energy & Environmental Science,"48,114",25.427,0.164740
NATURE METHODS,"38,428",25.328,0.202290
NATURE REVIEWS MICROBIOLOGY,"21,053",24.727,0.064940
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,802",24.652,0.006250
IMMUNITY,"39,637",24.082,0.133130
Annual Review of Pathology-Mechanisms of Disease,"3,448",23.758,0.013270
LANCET NEUROLOGY,"21,460",23.468,0.065940
CANCER CELL,"29,149",23.214,0.102440
Cell Stem Cell,"18,575",22.387,0.091360
Annual Review of Plant Biology,"16,767",22.131,0.019750
ACCOUNTS OF CHEMICAL RESEARCH,"58,876",22.003,0.123380
Annual Review of Biochemistry,"19,244",21.407,0.035060
LANCET INFECTIOUS DISEASES,"14,964",21.372,0.053250
JOURNAL OF CLINICAL ONCOLOGY,"141,362",20.982,0.324870
BEHAVIORAL AND BRAIN SCIENCES,"7,873",20.415,0.012860
BEHAVIORAL AND BRAIN SCIENCES,"7,873",20.415,0.012860
World Psychiatry,"2,410",20.205,0.006860
World Psychiatry,"2,410",20.205,0.006860
Cancer Discovery,"6,602",19.783,0.047060
BMJ-British Medical Journal,"93,118",19.697,0.162040
NATURE IMMUNOLOGY,"36,446",19.381,0.113570
Living Reviews in Solar Physics,926,19.333,0.004720
Psychological Science in the Public Interest,858,19.286,0.003040
Annual Review of Psychology,"14,292",19.085,0.019900
Annual Review of Psychology,"14,292",19.085,0.019900
ADVANCED MATERIALS,"141,386",18.960,0.326160
Nature Physics,"24,452",18.791,0.129810
Nature Reviews Clinical Oncology,"5,447",18.786,0.028060
NATURE CELL BIOLOGY,"35,807",18.699,0.104400
Nature Reviews Neurology,"5,336",18.418,0.027620
PHARMACOLOGICAL REVIEWS,"11,737",18.393,0.017810
GASTROENTEROLOGY,"67,726",18.187,0.131720
ADVANCES IN PHYSICS,"5,030",18.000,0.005940
TRENDS IN COGNITIVE SCIENCES,"21,382",17.850,0.047190
TRENDS IN COGNITIVE SCIENCES,"21,382",17.850,0.047190
Materials Today,"6,389",17.793,0.015000
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"84,932",17.759,0.214600
Cell Metabolism,"21,343",17.303,0.088610
CIRCULATION,"155,582",17.202,0.269200
Nature Climate Change,"9,526",17.184,0.067510
Nature Climate Change,"9,526",17.184,0.067510
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"7,884",16.784,0.012430
TRENDS IN ECOLOGY & EVOLUTION,"30,421",16.735,0.048680
NATURE NEUROSCIENCE,"51,112",16.724,0.154680
ANNALS OF INTERNAL MEDICINE,"49,618",16.593,0.095830
Annual Review of Condensed Matter Physics,"1,486",16.379,0.013240
Lancet Diabetes & Endocrinology,"2,026",16.320,0.011290
Science Translational Medicine,"17,066",16.264,0.114890
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"22,898",16.240,0.030420
CLINICAL MICROBIOLOGY REVIEWS,"14,832",16.187,0.020080
Annual Review of Physiology,"8,496",15.754,0.015360
ADVANCED DRUG DELIVERY REVIEWS,"29,225",15.606,0.041520
Nature Reviews Endocrinology,"4,758",15.432,0.022570
Lancet Respiratory Medicine,"2,343",15.328,0.012000
Advanced Energy Materials,"15,724",15.230,0.057520
EUROPEAN HEART JOURNAL,"43,381",15.064,0.129610
EUROPEAN UROLOGY,"23,702",14.976,0.064580
GUT,"35,914",14.921,0.064970
ENDOCRINE REVIEWS,"12,433",14.898,0.012610
PSYCHOLOGICAL BULLETIN,"39,345",14.839,0.032040
PSYCHOLOGICAL BULLETIN,"39,345",14.839,0.032040
CELL RESEARCH,"10,393",14.812,0.035850
Annual Review of Pharmacology and Toxicology,"7,434",14.769,0.010870
Lancet Global Health,"1,379",14.722,0.008420
Lancet Global Health,"1,379",14.722,0.008420
Nature Reviews Gastroenterology & Hepatology,"4,337",14.435,0.020210
JAMA Psychiatry,"4,034",14.417,0.021580
JAMA Psychiatry,"4,034",14.417,0.021580
